AREAS OF STUDY
COSMETOLOGY
CULINARY ARTS
COMPUTER SCIENCE & TECHNOLOGY
COMMUNICATIONS
HUMANITIES & INTERDISCIPLINARY
HEALTH PROFESSIONS
PERFORMING ARTS/VISUAL ART & DESIGN
TEACHING
COMPUTER SCIENCE, MATH & TECHNOLOGY
ZONED
ARCHITECTURE
JROTC
SCIENCE & MATH
PERFORMING ARTS
LAW & GOVERNMENT
FILM/VIDEO
ENGINEERING
HOSPITALITY, TRAVEL AND TOURISM
BUSINESS
PROJECT-BASED LEARNING
ANIMAL SCIENCE
HOSPITALITY, TRAVEL, & TOURISM
VISUAL ART & DESIGN
ENVIRONMENTAL SCIENCE
