CITY AGENCY
ACS
ADMINISTRATION FOR CHILDREN’S SERVICES
BOC
BOARD OF CORRECTION
BOENY
BOARD OF ELECTIONS
BSA
BOARD OF STANDARDS AND APPEALS
BPBX
BRONX BOROUGH PRESIDENT
BPBK
BROOKLYN BOROUGH PRESIDENT
BPL
BROOKLYN PUBLIC LIBRARY
BIC
BUSINESS INTEGRITY COMMISSION
CFB
CAMPAIGN FINANCE BOARD
OCC
CITY CLERK & CLERK OF THE COUNCIL
NYCC
CITY COUNCIL
NYCERS
CITY EMPLOYEES’ RETIREMENT SYSTEM
CUNY
CITY UNIVERSITY OF NEW YORK
CCRB
CIVILIAN COMPLAINT REVIEW BOARD
CCHR
COMMISSION ON HUMAN RIGHTS
CWI
COMMISSION ON WOMEN’S ISSUES
CCPC
COMMISSION TO COMBAT POLICE CORRUPTION
COIB
CONFLICTS OF INTEREST BOARD
DFTA
DEPARTMENT FOR THE AGING
DOB
DEPARTMENT OF BUILDINGS
DCP
DEPARTMENT OF CITY PLANNING
DCAS
DEPARTMENT OF CITYWIDE ADMINISTRATIVE SERVICES
DCA
DEPARTMENT OF CONSUMER AFFAIRS
DOC
DEPARTMENT OF CORRECTION
DCLA
DEPARTMENT OF CULTURAL AFFAIRS
DDC
DEPARTMENT OF DESIGN AND CONSTRUCTION
DOE
DEPARTMENT OF EDUCATION
DEP
DEPARTMENT OF ENVIRONMENTAL PROTECTION
DOF
DEPARTMENT OF FINANCE
DOHMH
DEPARTMENT OF HEALTH AND MENTAL HYGIENE
DHS
DEPARTMENT OF HOMELESS SERVICES
HPD
DEPARTMENT OF HOUSING PRESERVATION AND DEVELOPMENT
DOITT
DEPARTMENT OF INFORMATION TECHNOLOGY & TELECOMMUNICATIONS
DOI
DEPARTMENT OF INVESTIGATION
DPR
DEPARTMENT OF PARKS AND RECREATION
DOP
DEPARTMENT OF PROBATION
DORIS
DEPARTMENT OF RECORDS AND INFORMATION SERVICES
DSNY
DEPARTMENT OF SANITATION
SBS
DEPARTMENT OF SMALL BUSINESS SERVICES
DOT
DEPARTMENT OF TRANSPORTATION
DYCD
DEPARTMENT OF YOUTH AND COMMUNITY DEVELOPMENT
EDC
ECONOMIC DEVELOPMENT CORPORATION
EEPC
EQUAL EMPLOYMENT PRACTICES COMMISSION
FISA
FINANCIAL INFORMATION SERVICES AGENCY
FDNY
FIRE DEPARTMENT OF NEW YORK CITY
HHC
HEALTH AND HOSPITALS CORPORATION
HRA
HUMAN RESOURCES ADMINISTRATION
LPC
LANDMARKS PRESERVATION COMMISSION
LMEC
LATIN MEDIA & ENTERTAINMENT COMMISSION
LAW
LAW DEPARTMENT
LOFT
LOFT BOARD
MBPO
MANHATTAN BOROUGH PRESIDENT
ADULTED
MAYOR’S OFFICE OF ADULT EDUCATION
MODA
MAYOR’S OFFICE OF DATA ANALYTICS
OLTPS
MAYOR’S OFFICE OF LONG-TERM PLANNING AND SUSTAINABILITY
OMB
MAYOR’S OFFICE OF MANAGEMENT & BUDGET
MOME
MAYOR’S OFFICE OF MEDIA AND ENTERTAINMENT
OPS
MAYOR’S OFFICE OF OPERATIONS
MTA
METROPOLITAN TRANSPORTATION AUTHORITY
NYCGO
NYC & COMPANY
IBO
NYC INDEPENDENT BUDGET OFFICE
MEDIA
NYC MEDIA
NYCSERVICE
NYC SERVICE
NYCHA
NEW YORK CITY HOUSING AUTHORITY
TAXCOMM
NEW YORK CITY TAX COMMISSION
NYPL
NEW YORK PUBLIC LIBRARY
OATA
OFFICE OF ADMINISTRATIVE TAX APPEALS
OATH
OFFICE OF ADMINISTRATIVE TRIALS AND HEARINGS
OCME
OFFICE OF CHIEF MEDICAL EXAMINER
CECM
OFFICE OF CITYWIDE EVENT COORDINATION AND MANAGEMENT
OCB
OFFICE OF COLLECTIVE BARGAINING
OEM
OFFICE OF EMERGENCY MANAGEMENT
FILM
OFFICE OF FILM
THEATRE
AND BROADCASTING
OLR
OFFICE OF LABOR RELATIONS
OPA
OFFICE OF PAYROLL ADMINISTRATION
ACTUARY
OFFICE OF THE ACTUARY
COMPTROLLER
OFFICE OF THE COMPTROLLER
NYPD
POLICE DEPARTMENT
NYCPPF
POLICE PENSION FUND
PANYNJ
PORT AUTHORITY OF NEW YORK & NEW JERSEY
PPB
PROCUREMENT POLICY BOARD
QBP
QUEENS BOROUGH PRESIDENT
QBPL
QUEENS LIBRARY
RGB
RENT GUIDELINES BOARD
SCA
SCHOOL CONSTRUCTION AUTHORITY
BPSI
STATEN ISLAND BOROUGH PRESIDENT
TAT
TAX APPEALS TRIBUNAL
TLC
TAXI AND LIMOUSINE COMMISSION
TRSNYC
TEACHERS RETIREMENT SYSTEM
PUBLIC DESIGN COMMISSION
ART COMMISSION (ARTCOM) AND DESIGN COMMISSION
311
ALLIANCE FOR DOWNTOWN NEW YORK
BANKING COMMISSION
CIVIL SERVICE COMMISSION
COMMUNITY BOARDS
FIRE DEPARTMENT PENSION FUND & RELATED FUNDS
MAYOR’S OFFICE TO END DOMESTIC AND GENDER-BASED VIOLENCE
OFFICE OF THE MAYOR
