BUILDING CLASSIFICATION
R4-ELEVATOR
C6-WALK-UP
C1-WALK-UP
C4-WALK-UP
D3-ELEVATOR
D2-ELEVATOR
D5-ELEVATOR
R0-CONDOMINIUM
C8-WALK-UP
R2-WALK-UP
D6-ELEVATOR
D1-ELEVATOR
D4-ELEVATOR
D0-ELEVATOR
D9-ELEVATOR
R9 -CONDOPS
C5-WALK-UP
D8-ELEVATOR
C7-WALK-UP
D7-ELEVATOR
