COLOR
AMARANTH
AMBER
AMETHYST
APRICOT
AQUAMARINE
AZURE
BABY BLUE
BEIGE
BLACK
BLUE
BLUE-GREEN
BLUE-VIOLET
BLUSH
BRONZE
BROWN
BURGUNDY
BYZANTIUM
CARMINE
CERISE
CERULEAN
CHAMPAGNE
CHARTREUSE GREEN
CHOCOLATE
COBALT BLUE
COFFEE
COPPER
CORAL
CRIMSON
CYAN
DESERT SAND
ELECTRIC BLUE
EMERALD
ERIN
GOLD
GRAY
GREEN
HARLEQUIN
INDIGO
IVORY
JADE
JUNGLE GREEN
LAVENDER
LEMON
LILAC
LIME
MAGENTA
MAGENTA ROSE
MAROON
MAUVE
NAVY BLUE
OCHRE
OLIVE
ORANGE
ORANGE-RED
ORCHID
PEACH
PEAR
PERIWINKLE
PERSIAN BLUE
PINK
PLUM
PRUSSIAN BLUE
PUCE
PURPLE
RASPBERRY
RED
RED-VIOLET
ROSE
RUBY
SALMON
SANGRIA
SAPPHIRE
SCARLET
SILVER
SLATE GRAY
SPRING BUD
SPRING GREEN
TAN
TAUPE
TEAL
TURQUOISE
ULTRAMARINE
VIOLET
VIRIDIAN
WHITE
YELLOW
